92 special clauses
control_allCost_condChar_000#1 | 浮生得闲 | cc_recover | 0.25 | M03 | control_center | partial=hold
control_dorm_rec2_000#2 | 羁绊相生 | cc_recover | 0.1 | M01 | dormitory | partial=hold
control_dorm_rec_tag_001#1 | 无言的慈爱 | cc_recover | 0.1 | M01 | dormitory | count_faction=精英干员
control_facCostReset_000#1 | 杯莫停 | eliminate_self | 0 | M13 | control_center | target_faction=岁;partial=hold
control_meeting&mp_cost_000#1 | 英雄的骄傲·α | self_consume | 0.02 | M07a | control_center | partial=hold
control_meeting&mp_cost_100#1 | 英雄的骄傲·β | self_consume | 0.02 | M07a | control_center | partial=hold
control_mp&meet_spd_000#1 | 成效优先 | self_consume | 0.05 | M07a | control_center | partial=hold
control_mp_aegir1_000#1 | 潮汐守望 | self_consume | 0.5 | M07a | control_center | basis=abyssal_non_dorm;partial=apply
control_mp_aegir1_000#2 | 潮汐守望 | dorm_self | 0.5 | M07b | - | partial=apply
control_mp_aegir1_000#3 | 潮汐守望 | dorm_self | 0.5 | M07b | - | partial=apply
control_mp_bd&trade_000#1 | 演技的怪物 | self_consume | 0.01 | M07a | control_center | var=热情值 per=8 min=None;partial=apply
control_mp_bd_cost_expand_000#1 | 孤光共照 | cc_recover | 0.05 | M02b | power,manufacturing,trading,office,reception | max_group=room2_recover
control_mp_bd_cost_expand_000#2 | 孤光共照 | cc_recover | 0.05 | M02b | power,manufacturing,trading,office,reception | var=人间烟火 per=20 min=None;max_group=room2_recover;partial=apply
control_mp_cost&bd3_000#1 | 生活的重压 | self_consume | 0.05 | M07a | control_center | var=热情值 per=None min=40;partial=apply
control_mp_cost&faction2_000#1 | 坚毅随和 | cc_recover | 0.2 | M03 | control_center | count_faction=鲤氏侦探事务所
control_mp_cost&faction_000#1 | 德才兼备 | cc_recover | 0.05 | M03 | control_center | count_faction=龙门近卫局
control_mp_cost&faction_020#1 | 学生会会长 | cc_recover | 0.05 | M03 | control_center | count_faction=乌萨斯学生自治团
