faction,member,source,kind
A1小队,芙蓉,cc.g.A1,faction
A1小队,炎熔,cc.g.A1,faction
A1小队,米格鲁,cc.g.A1,faction
A1小队,芬,cc.g.A1,faction
A1小队,克洛丝,cc.g.A1,faction
进攻方,灰烬,cc.g.Attack,faction
进攻方,闪击,cc.g.Attack,faction
进攻方,双月,cc.g.Attack,faction
进攻方,导火索,cc.g.Attack,faction
防守方,战车,cc.g.Defence,faction
防守方,霜华,cc.g.Defence,faction
防守方,艾拉,cc.g.Defence,faction
防守方,医生,cc.g.Defence,faction
彩虹小队,灰烬,cc.g.R6,faction
彩虹小队,战车,cc.g.R6,faction
彩虹小队,闪击,cc.g.R6,faction
彩虹小队,霜华,cc.g.R6,faction
彩虹小队,艾拉,cc.g.R6,faction
彩虹小队,医生,cc.g.R6,faction
彩虹小队,双月,cc.g.R6,faction
彩虹小队,导火索,cc.g.R6,faction
深海猎人,歌蕾蒂娅,cc.g.abyssal,faction
深海猎人,斯卡蒂,cc.g.abyssal,faction
深海猎人,幽灵鲨,cc.g.abyssal,faction
深海猎人,安哲拉,cc.g.abyssal,faction
深海猎人,乌尔比安,cc.g.abyssal,faction
黑钢国际,雷蛇,cc.g.bs,faction
黑钢国际,芙兰卡,cc.g.bs,faction
黑钢国际,杰西卡,cc.g.bs,faction
黑钢国际,香草,cc.g.bs,faction
黑钢国际,杏仁,cc.g.bs,faction
黑钢国际,寻澜,cc.g.bs,faction
精英干员,迷迭香,cc.g.elite,faction
精英干员,煌,cc.g.elite,faction
精英干员,逻各斯,cc.g.elite,faction
精英干员,烛煌,cc.g.elite,faction
精英干员,电弧,cc.g.elite,faction
精英干员,真言,cc.g.elite,faction
精英干员,机械师,cc.g.elite,faction
格拉斯哥帮,推进之王,cc.g.glasgow,faction
格拉斯哥帮,摩根,cc.g.glasgow,faction
格拉斯哥帮,达格达,cc.g.glasgow,faction
格拉斯哥帮,因陀罗,cc.g.glasgow,faction
谢拉格,银灰,cc.g.karlan,faction
谢拉格,灵知,cc.g.karlan,faction
谢拉格,初雪,cc.g.karlan,faction
谢拉格,崖心,cc.g.karlan,faction
谢拉格,角峰,cc.g.karlan,faction
谢拉格,讯使,cc.g.karlan,faction
谢拉格,耶拉,cc.g.karlan,faction
谢拉格,极光,cc.g.karlan,faction
谢拉格,锏,cc.g.karlan,faction
谢拉格,雪猎,cc.g.karlan,faction
拉特兰,翎羽,cc.g.laterano,faction
拉特兰,安德切尔,cc.g.laterano,faction
拉特兰,送葬人,cc.g.laterano,faction
拉特兰,莫斯提马,cc.g.laterano,faction
拉特兰,安比尔,cc.g.laterano,faction
拉特兰,芳汀,cc.g.laterano,faction
拉特兰,空弦,cc.g.laterano,faction
拉特兰,菲亚梅塔,cc.g.laterano,faction
拉特兰,见行者,cc.g.laterano,faction
拉特兰,空构,cc.g.laterano,faction
拉特兰,隐现,cc.g.laterano,faction
拉特兰,塑心,cc.g.laterano,faction
拉特兰,蕾缪安,cc.g.laterano,faction
拉特兰,信仰搅拌机,cc.g.laterano,faction
拉特兰,CONFESS-47,cc.g.laterano,faction
鲤氏侦探事务所,老鲤,cc.g.lda,faction
鲤氏侦探事务所,阿,cc.g.lda,faction
鲤氏侦探事务所,吽,cc.g.lda,faction
鲤氏侦探事务所,槐琥,cc.g.lda,faction
龙门近卫局,陈,cc.g.lgd,faction
龙门近卫局,星熊,cc.g.lgd,faction
龙门近卫局,诗怀雅,cc.g.lgd,faction
米诺斯,埃拉托,cc.g.minos,faction
米诺斯,帕拉斯,cc.g.minos,faction
米诺斯,铸铁,cc.g.minos,faction
米诺斯,断罪者,cc.g.minos,faction
米诺斯,火神,cc.g.minos,faction
米诺斯,摆渡人,cc.g.minos,faction
红松骑士团,焰尾,cc.g.psk,faction
红松骑士团,远牙,cc.g.psk,faction
红松骑士团,灰毫,cc.g.psk,faction
红松骑士团,野鬃,cc.g.psk,faction
红松骑士团,正义骑士号,cc.g.psk,faction
莱茵生命,赫默,cc.g.rh,faction
莱茵生命,伊芙利特,cc.g.rh,faction
莱茵生命,塞雷娅,cc.g.rh,faction
莱茵生命,白面鸮,cc.g.rh,faction
莱茵生命,梅尔,cc.g.rh,faction
莱茵生命,麦哲伦,cc.g.rh,faction
莱茵生命,多萝西,cc.g.rh,faction
莱茵生命,星源,cc.g.rh,faction
莱茵生命,缪尔赛思,cc.g.rh,faction
莱茵生命,娜斯提,cc.g.rh,faction
萨尔贡,钼铅,cc.g.sargon,faction
萨尔贡,菲莱,cc.g.sargon,faction
萨尔贡,佩佩,cc.g.sargon,faction
萨尔贡,娜仁图亚,cc.g.sargon,faction
萨尔贡,衡沙,cc.g.sargon,faction
萨尔贡,莎草,cc.g.sargon,faction
萨尔贡,红隼,cc.g.sargon,faction
萨尔贡,铅踝,cc.g.sargon,faction
萨尔贡,图耶,cc.g.sargon,faction
萨尔贡,泡泡,cc.g.sargon,faction
萨尔贡,森蚺,cc.g.sargon,faction
萨尔贡,燧石,cc.g.sargon,faction
萨尔贡,特米米,cc.g.sargon,faction
萨尔贡,蜜蜡,cc.g.sargon,faction
萨尔贡,稀音,cc.g.sargon,faction
萨尔贡,慑砂,cc.g.sargon,faction
萨尔贡,狮蝎,cc.g.sargon,faction
萨尔贡,异客,cc.g.sargon,faction
萨尔贡,艾丝黛尔,cc.g.sargon,faction
萨尔贡,至简,cc.g.sargon,faction
萨尔贡,哈蒂娅,cc.g.sargon,faction
萨尔贡,缇缇,cc.g.sargon,faction
叙拉古,安洁莉娜,cc.g.siracusa,faction
叙拉古,拉普兰德,cc.g.siracusa,faction
叙拉古,普罗旺斯,cc.g.siracusa,faction
叙拉古,红云,cc.g.siracusa,faction
叙拉古,布洛卡,cc.g.siracusa,faction
叙拉古,巫恋,cc.g.siracusa,faction
叙拉古,铃兰,cc.g.siracusa,faction
叙拉古,贾维,cc.g.siracusa,faction
叙拉古,奥斯塔,cc.g.siracusa,faction
叙拉古,斥罪,cc.g.siracusa,faction
叙拉古,子月,cc.g.siracusa,faction
叙拉古,伺夜,cc.g.siracusa,faction
叙拉古,阿罗玛,cc.g.siracusa,faction
叙拉古,忍冬,cc.g.siracusa,faction
叙拉古,裁度,cc.g.siracusa,faction
叙拉古,荒芜拉普兰德,cc.g.siracusa,faction
叙拉古,贝洛内,cc.g.siracusa,faction
叙拉古,复奏,cc.g.siracusa,faction
萨米,远山,cc.g.sm,faction
萨米,柏喙,cc.g.sm,faction
萨米,雪绒,cc.g.sm,faction
萨米,提丰,cc.g.sm,faction
萨米,寒檀,cc.g.sm,faction
萨米,凛视,cc.g.sm,faction
岁,年,cc.g.sui,faction
岁,夕,cc.g.sui,faction
岁,令,cc.g.sui,faction
岁,重岳,cc.g.sui,faction
岁,黍,cc.g.sui,faction
岁,余,cc.g.sui,faction
岁,望,cc.g.sui,faction
乌萨斯学生自治团,早露,cc.g.ussg,faction
乌萨斯学生自治团,凛冬,cc.g.ussg,faction
乌萨斯学生自治团,真理,cc.g.ussg,faction
乌萨斯学生自治团,古米,cc.g.ussg,faction
乌萨斯学生自治团,烈夏,cc.g.ussg,faction
乌萨斯学生自治团,苦艾,cc.g.ussg,faction
莱欧斯小队,玛露西尔,cc.tag.dungeon,tag
莱欧斯小队,莱欧斯,cc.tag.dungeon,tag
莱欧斯小队,齐尔查克,cc.tag.dungeon,tag
莱欧斯小队,森西,cc.tag.dungeon,tag
杜林族,至简,cc.tag.durin,tag
杜林族,桃金娘,cc.tag.durin,tag
杜林族,褐果,cc.tag.durin,tag
杜林族,杜林,cc.tag.durin,tag
杜林族,特克诺,cc.tag.durin,tag
骑士,耀骑士临光,cc.tag.knight,tag
骑士,临光,cc.tag.knight,tag
骑士,瑕光,cc.tag.knight,tag
骑士,鞭刃,cc.tag.knight,tag
骑士,焰尾,cc.tag.knight,tag
骑士,远牙,cc.tag.knight,tag
骑士,灰毫,cc.tag.knight,tag
骑士,野鬃,cc.tag.knight,tag
骑士,正义骑士号,cc.tag.knight,tag
骑士,砾,cc.tag.knight,tag
骑士,薇薇安娜,cc.tag.knight,tag
怪物猎人小队,火龙S黑角,cc.tag.mh,tag
怪物猎人小队,麒麟R夜刀,cc.tag.mh,tag
怪物猎人小队,泰拉大陆调查团,cc.tag.mh,tag
泡影国狩猎小队,焰狐龙梓兰,cc.tag.mh2,tag
泡影国狩猎小队,雷狼龙S空爆,cc.tag.mh2,tag
泡影国狩猎小队,罗德岛隐秘队,cc.tag.mh2,tag
作业平台,Lancet-2,cc.tag.op,tag
作业平台,Castle-3,cc.tag.op,tag
作业平台,THRM-EX,cc.tag.op,tag
作业平台,正义骑士号,cc.tag.op,tag
作业平台,Friston-3,cc.tag.op,tag
作业平台,PhonoR-0,cc.tag.op,tag
作业平台,CONFESS-47,cc.tag.op,tag
作业平台,GALLUS²,cc.tag.op,tag
S.E.E.S.,结城理,cc.tag.sees,tag
S.E.E.S.,埃癸斯,cc.tag.sees,tag
S.E.E.S.,岳羽由加莉,cc.tag.sees,tag
S.E.E.S.,虎狼丸,cc.tag.sees,tag
异格者,百炼嘉维尔,manual,supplement
异格者,承曦格雷伊,manual,supplement
异格者,赤刃明霄陈,manual,supplement
异格者,纯烬艾雅法拉,manual,supplement
异格者,淬羽赫默,manual,supplement
异格者,涤火杰西卡,manual,supplement
异格者,归溟幽灵鲨,manual,supplement
异格者,寒芒克洛丝,manual,supplement
异格者,荒芜拉普兰德,manual,supplement
异格者,火龙S黑角,manual,supplement
异格者,假日威龙陈,manual,supplement
异格者,缄默德克萨斯,manual,supplement
异格者,酒神,manual,supplement
异格者,凯尔希·思衡托,manual,supplement
异格者,雷狼龙S空爆,manual,supplement
异格者,历阵锐枪芬,manual,supplement
异格者,琳琅诗怀雅,manual,supplement
异格者,凛御银灰,manual,supplement
异格者,怒潮凛冬,manual,supplement
异格者,麒麟R夜刀,manual,supplement
异格者,圣聆初雪,manual,supplement
异格者,圣约送葬人,manual,supplement
异格者,司霆惊蛰,manual,supplement
异格者,溯光星源,manual,supplement
异格者,维娜·维多利亚,manual,supplement
异格者,维什戴尔,manual,supplement
异格者,撷英调香师,manual,supplement
异格者,新约能天使,manual,supplement
异格者,焰狐龙梓兰,manual,supplement
异格者,焰影苇草,manual,supplement
异格者,炎狱炎熔,manual,supplement
异格者,耀骑士临光,manual,supplement
异格者,引星棘刺,manual,supplement
异格者,予愿安洁莉娜,manual,supplement
异格者,斩业星熊,manual,supplement
异格者,烛煌,manual,supplement
异格者,濯尘芙蓉,manual,supplement
异格者,浊心斯卡蒂,manual,supplement
