skill_id,clause,name,kind,family,target,condition,value_milli,status,control_capability,template_id,params
control_allCost_condChar_000,1,浮生得闲,recover,control_room,当与阿进驻控制中枢一起工作时，控制中枢内所有干员,当与,250,complex,,M03,target=cc_all;stacking=sum;partial_mode=hold;partial=true
control_bd_spd_000,1,老友相聚,drain,self,self,,500,auto,,M07a,stacking=sum;partial=false
control_clue_cost&faction_990,1,反抗者,drain,self,self,,250,auto,,M07a,stacking=sum;partial=false
control_clue_cost_000,1,神经质,drain,room,self,,1500,auto,,M05,include_self=true;stacking=sum;partial=false
control_clue_cost_010,1,至察,drain,room,self,,500,auto,,M05,include_self=true;stacking=sum;partial=false
control_dorm_rec2_000,1,羁绊相生,recover,control_room,进驻控制中枢时，所有宿舍内所有干员的心情每小时恢,,50,auto,,M01,target=dorm_all;stacking=same_kind_max;partial=false
control_dorm_rec2_000,2,羁绊相生,recover,control_room,进驻控制中枢时，所有宿舍内所有干员的心情每小时恢,当与丰川祥子一起进驻控制中枢,100,complex,,M01,target=dorm_all;stacking=same_kind_max;partial_mode=hold;partial=true
control_dorm_rec_000,1,领袖,recover,control_room,进驻控制中枢时，所有宿舍内所有干员的心情每小时恢,,50,auto,,M01,target=dorm_all;stacking=same_kind_max;partial=false
control_dorm_rec_001,1,战纹,recover,control_room,进驻控制中枢时，所有宿舍内所有干员的心情每小时恢,,50,auto,,M01,target=dorm_all;stacking=same_kind_max;partial=false
control_dorm_rec_002,1,巡心,recover,control_room,进驻控制中枢时，所有宿舍内所有干员的心情每小时恢,,50,auto,,M01,target=dorm_all;stacking=same_kind_max;partial=false
control_dorm_rec_tag_001,1,无言的慈爱,recover,control_room,进驻控制中枢时，所有宿舍内<$cc.g.elit,,100,auto,,M01,target=dorm_all;stacking=same_kind_max;partial=false
control_facCostReset_000,1,杯莫停,recover,immune,进驻控制中枢时，消除当前控制中枢内所有<$cc.,消除…自身心情消耗的影响,,complex,,M13,filter=all;partial_mode=hold;partial=true
control_meeting&mp_cost_000,1,英雄的骄傲·α,drain,self,self,当与萨尔贡干员进驻控制中枢一起工作,20,complex,,M07a,stacking=sum;partial_mode=hold;partial=true
control_meeting&mp_cost_100,1,英雄的骄傲·β,drain,self,self,当与萨尔贡干员进驻控制中枢一起工作,20,complex,,M07a,stacking=sum;partial_mode=hold;partial=true
control_meeting_bd_000,1,“是，团长！”,drain,self,self,,500,auto,,M07a,stacking=sum;partial=false
control_mp&meet_spd_000,1,成效优先,drain,self,self,当与,50,complex,,M07a,stacking=sum;partial_mode=hold;partial=true
control_mp_aegir1_000,1,潮汐守望,drain,self,self,每有1个深海猎人干员进驻在宿舍以外的设施,500,complex,,M07a,stacking=sum;partial_mode=apply;partial=true;basis=abyssal_non_dorm
control_mp_aegir1_000,2,潮汐守望,recover,self,self,反之（深海猎人干员均进驻宿舍）,500,complex,,M07b,partial_mode=apply;partial=true
control_mp_aegir1_000,3,潮汐守望,recover,self,self,宿舍内深海猎人干员为满心情,500,complex,,M07b,partial_mode=apply;partial=true
control_mp_aegir2_000,1,集群狩猎·α,recover,control_room,进驻控制中枢时，控制中枢内所有干员的心情每小时恢,,50,auto,,M03,target=cc_all;stacking=sum;partial=false
control_mp_aegir2_010,1,集群狩猎·β,recover,control_room,进驻控制中枢时，控制中枢内所有干员的心情每小时恢,,50,auto,,M03,target=cc_all;stacking=sum;partial=false
control_mp_bd&trade_000,1,演技的怪物,drain,self,self,每有,10,complex,,M07a,stacking=sum;partial_mode=apply;partial=true;var=热情值;var_per=8
control_mp_bd_cost_expand_000,1,孤光共照,recover,work_area,进驻控制中枢时，<$cc.c.room2>其他设,,50,auto,chongyue_fixed,M02b,scope=room2;max_group=room2_recover;partial=false
control_mp_bd_cost_expand_000,2,孤光共照,recover,work_area,进驻控制中枢时，<$cc.c.room2>其他设,每有20点人间烟火,50,complex,,M02b,scope=room2;max_group=room2_recover;partial_mode=apply;partial=true;var=人间烟火;var_per=20
control_mp_cost&bd1_000,1,"""不以物喜""",drain,room,进驻控制中枢时，控制中枢内所有干员的心情每小时恢,,-50,auto,,M05,include_self=true;stacking=sum;partial=false
control_mp_cost&bd2_000,1,"""不以己悲""",drain,self,self,,500,auto,,M07a,stacking=sum;partial=false
control_mp_cost&bd2_010,1,耐力回复,drain,self,self,,500,auto,,M07a,stacking=sum;partial=false
control_mp_cost&bd3_000,1,生活的重压,drain,self,self,热情值,50,complex,,M07a,stacking=sum;partial_mode=apply;partial=true;var=热情值;var_min=40
control_mp_cost&bd_up_000,1,知我为我,drain,self,self,,500,auto,,M07a,stacking=sum;partial=false
control_mp_cost&faction2_000,1,坚毅随和,recover,control_room,进驻控制中枢时，控制中枢内每个<$cc.g.ld,,200,auto,,M03,target=cc_all;stacking=sum;partial=false
control_mp_cost&faction_000,1,德才兼备,recover,control_room,进驻控制中枢时，控制中枢内每个<$cc.g.lg,,50,auto,,M03,target=cc_all;stacking=sum;partial=false
control_mp_cost&faction_020,1,学生会会长,recover,control_room,进驻控制中枢时，控制中枢内每个<$cc.g.us,,50,auto,,M03,target=cc_all;stacking=sum;partial=false
control_mp_cost&faction_030,1,幕后指挥,recover,control_room,进驻控制中枢时，控制中枢内每个<$cc.g.ka,,50,auto,,M03,target=cc_all;stacking=sum;partial=false
control_mp_cost&faction_900,1,异格者,recover,control_room,进驻控制中枢时，控制中枢内每个<$cc.g.sp,,50,auto,alter_recovery,M03,target=cc_all;stacking=sum;partial=false
control_mp_cost&faction_990,1,彩虹小队,recover,control_room,进驻控制中枢时，控制中枢内每个<$cc.g.R6,,50,auto,r6_recovery,M03,target=cc_all;stacking=sum;partial=false
control_mp_cost_000,1,左膀右臂,recover,control_room,进驻控制中枢时，控制中枢内所有干员的心情每小时恢,,50,auto,,M03,target=cc_all;stacking=sum;partial=false
control_mp_cost_001,1,S.W.E.E.P.,recover,control_room,进驻控制中枢时，控制中枢内所有干员的心情每小时恢,,50,auto,,M03,target=cc_all;stacking=sum;partial=false
control_mp_cost_002,1,零食网络,recover,control_room,进驻控制中枢时，控制中枢内所有干员的心情每小时恢,,50,auto,,M03,target=cc_all;stacking=sum;partial=false
control_mp_cost_003,1,清理协议,recover,control_room,进驻控制中枢时，控制中枢内所有干员的心情每小时恢,,50,auto,,M03,target=cc_all;stacking=sum;partial=false
control_mp_cost_004,1,替身,recover,control_room,进驻控制中枢时，控制中枢内所有干员的心情每小时恢,,50,auto,,M03,target=cc_all;stacking=sum;partial=false
control_mp_cost_005,1,必要责任,recover,control_room,进驻控制中枢时，控制中枢内所有干员的心情每小时恢,,50,auto,,M03,target=cc_all;stacking=sum;partial=false
control_mp_cost_006,1,护卫,recover,control_room,进驻控制中枢时，控制中枢内所有干员的心情每小时恢,,50,auto,,M03,target=cc_all;stacking=sum;partial=false
control_mp_cost_007,1,小小的领袖,recover,control_room,进驻控制中枢时，控制中枢内所有干员的心情每小时恢,,50,auto,,M03,target=cc_all;stacking=sum;partial=false
control_mp_cost_008,1,独善其身,recover,control_room,进驻控制中枢时，控制中枢内所有干员的心情每小时恢,,50,auto,,M03,target=cc_all;stacking=sum;partial=false
control_mp_cost_009,1,笑靥如春,recover,control_room,进驻控制中枢时，控制中枢内所有干员的心情每小时恢,,50,auto,smile,M03,target=cc_all;stacking=sum;partial=false
control_mp_cost_010,1,金盏花诗会,recover,control_room,进驻控制中枢时，控制中枢内所有干员的心情每小时恢,,50,auto,,M03,target=cc_all;stacking=sum;partial=false
control_mp_cost_011,1,捍卫之道,recover,control_room,进驻控制中枢时，控制中枢内所有干员的心情每小时恢,,50,auto,,M03,target=cc_all;stacking=sum;partial=false
control_mp_cost_012,1,博识生手,recover,control_room,进驻控制中枢时，控制中枢内所有干员的心情每小时恢,,50,auto,,M03,target=cc_all;stacking=sum;partial=false
control_mp_cost_013,1,点滴关照,recover,control_room,进驻控制中枢时，控制中枢内所有干员的心情每小时恢,,50,auto,,M03,target=cc_all;stacking=sum;partial=false
control_mp_cost_014,1,总工程师,recover,control_room,进驻控制中枢时，控制中枢内所有干员的心情每小时恢,,50,auto,,M03,target=cc_all;stacking=sum;partial=false
control_mp_cost_double_000,1,魔王传承,recover,control_room,当与阿米娅一起进驻控制中枢时，自身和阿米娅心情每,当与,50,complex,civilight_presence,M04,"with_operator=""阿米娅"";partial_mode=hold;partial=true"
control_mp_cost_double_001,1,“未完的故事”,recover,control_room,当与阿米娅一起进驻控制中枢时，自身和阿米娅心情每,当与,100,complex,civilight_presence,M04,"with_operator=""阿米娅"";partial_mode=hold;partial=true"
control_mp_cost_reset_000,1,互为半身,recover,immune,当与丰川祥子一起进驻控制中枢时，消除自身心情消耗,消除…自身心情消耗的影响,,complex,,M13,filter=all;partial_mode=apply;partial=true;self_only=true
control_mp_expand_double_000,1,巴别塔之帜,recover,work_area,进驻控制中枢时，<$cc.c.room2>其他设,,100,auto,wisadel_fixed,M02b,scope=room2;max_group=room2_recover;partial=false
control_mp_expand_double_000,2,巴别塔之帜,recover,work_area,进驻控制中枢时，<$cc.c.room2>其他设,当魔王进驻控制中枢,100,complex,,M02b,scope=room2;max_group=room2_recover;partial_mode=hold;partial=true
control_mp_lonely_000,1,公事公办,recover,work_area,进驻控制中枢时，<$cc.c.room1>部分设,,100,auto,mlynar_fixed_spread,M02c,value_scope=room1;spread=cc.c.skill;max_group=room2_recover;partial=false
dorm_exchangeAp_000,1,患难之交,recover,swap,进驻宿舍时，如果自身为满心情，则与当前宿舍前一位,,,complex,,M15a,swap_with=previous_occupant;partial_mode=apply;partial=true
dorm_hireToRecAll_000,1,寻同路人,recover,dorm_group,进驻宿舍时，该宿舍内所有干员心情每小时恢复+0.,,150,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
