operator_id,operator_name,skill_index,skill_name,skill_id,function_key,enhanced,unlock,elite,level
char_002_amiya,阿米娅,1,合作协议,control_tra_spd_000,合作协议,0,初始解锁,0,1
char_002_amiya,阿米娅,2,小提琴独奏,dorm_rec_all_010,小提琴独奏,0,精英 2 解锁,2,1
char_003_kalts,凯尔希,1,未知技术,workshop_proc_probability_040,未知技术,0,初始解锁,0,1
char_003_kalts,凯尔希,2,最高权限,control_prod_spd_000,最高权限,0,精英 2 解锁,2,1
char_009_12fce,12F,1,线索搜集·β,meet_spd_020,线索搜集·β,0,初始解锁,0,1
char_009_12fce,12F,2,特训记录,workshop_formula_probability_300,特训记录,0,等级 30 解锁,0,30
char_010_chen,陈,1,德才兼备,control_mp_cost&faction_000,德才兼备,0,初始解锁,0,1
char_010_chen,陈,2,警司,meet_spd&team_100,警司,0,精英 2 解锁,2,1
char_017_huang,煌,1,热能充能·α,power_rec_spd_001,热能充能·α,0,初始解锁,0,1
char_017_huang,煌,2,斩铁裂钢,workshop_formula_probability_210,斩铁裂钢,0,精英 1 解锁,1,1
char_101_sora,空,1,偶像,dorm_rec_all_011,偶像,0,初始解锁,0,1
char_101_sora,空,2,企鹅物流·β,trade_ord_spd_011,企鹅物流·β,0,精英 2 解锁,2,1
char_1011_lava2,炎狱炎熔,1,异格者,control_mp_cost&faction_900,异格者,0,初始解锁,0,1
char_1011_lava2,炎狱炎熔,2,热能充能·γ,power_rec_spd_022,热能充能·γ,0,精英 2 解锁,2,1
char_1012_skadi2,浊心斯卡蒂,1,辅助专精·α,train_spd&profession2_060,辅助专精·α,0,初始解锁,0,1
char_1012_skadi2,浊心斯卡蒂,2,同化,train_spd&profession2_660,同化,1,精英 2 提升,2,1
char_1012_skadi2,浊心斯卡蒂,3,变异,train_cost&profession_360,变异,0,精英 2 解锁,2,1
char_1013_chen2,假日威龙陈,1,狙击专精·α,train_spd&profession2_040,狙击专精·α,0,初始解锁,0,1
char_1013_chen2,假日威龙陈,2,以身作则,train_spd&profession2_440,以身作则,1,精英 2 提升,2,1
char_1013_chen2,假日威龙陈,3,工作狂,train_cost&profession_140,工作狂,0,精英 2 解锁,2,1
char_1014_nearl2,耀骑士临光,1,骑士训练,train_spd_tag_000,骑士训练,0,初始解锁,0,1
char_1014_nearl2,耀骑士临光,2,崇高准则,train_spd_tag_010,崇高准则,1,精英 2 提升,2,1
char_1015_aglna2,予愿安洁莉娜,1,资深信使,meet_spd_notOwned_004,资深信使,0,初始解锁,0,1
char_1015_aglna2,予愿安洁莉娜,2,我自己的愿望,meet_spd&cost_condChar_002,我自己的愿望,0,精英 2 解锁,2,1
char_1016_agoat2,纯烬艾雅法拉,1,医疗专精·α,train_spd&profession3_180,医疗专精·α,0,初始解锁,0,1
char_1016_agoat2,纯烬艾雅法拉,2,实战技巧：行医,train_spd&profession3_181,实战技巧：行医,1,精英 2 提升,2,1
char_1016_agoat2,纯烬艾雅法拉,3,火山温泉浴,dorm_rec_all&profession_000,火山温泉浴,0,精英 2 解锁,2,1
char_1019_siege2,维娜·维多利亚,1,外贸决议·α,trade_ord_spd&par_000,外贸决议·α,0,初始解锁,0,1
char_1019_siege2,维娜·维多利亚,2,外贸决议·β,trade_ord_spd&par_001,外贸决议·β,1,精英 2 提升,2,1
char_102_texas,德克萨斯,1,恩怨,trade_ord_spd&cost_P_000,恩怨,0,初始解锁,0,1
char_102_texas,德克萨斯,2,默契,trade_ord_limit&cost_P_010,默契,0,精英 2 解锁,2,1
char_1020_reed2,焰影苇草,1,红龙之血,train_spd_doubleProf_100,红龙之血,0,初始解锁,0,1
char_1020_reed2,焰影苇草,2,红龙之血,train_spd_doubleProf_110,红龙之血,1,精英 2 提升,2,1
char_1020_reed2,焰影苇草,3,领袖,control_dorm_rec_000,领袖,0,精英 1 解锁,1,1
char_1021_kroos2,寒芒克洛丝,1,异格者,control_mp_cost&faction_900,异格者,0,初始解锁,0,1
char_1021_kroos2,寒芒克洛丝,2,实战技巧：速射,train_spd&profession3_140,实战技巧：速射,0,精英 2 解锁,2,1
char_1022_flwr2,撷英调香师,1,沉静心灵,dorm_rec_all_029,沉静心灵,0,初始解锁,0,1
char_1022_flwr2,撷英调香师,2,净化呼吸,dorm_rec_all&tired_100,净化呼吸,0,精英 2 解锁,2,1
char_1023_ghost2,归溟幽灵鲨,1,特种专精·α,train_spd&profession2_080,特种专精·α,0,初始解锁,0,1
char_1023_ghost2,归溟幽灵鲨,2,阿戈尔战术,train_spd&profession2_680,阿戈尔战术,1,精英 2 提升,2,1
char_1023_ghost2,归溟幽灵鲨,3,斗争渴望,train_cost&profession_380,斗争渴望,0,精英 2 解锁,2,1
char_1024_hbisc2,濯尘芙蓉,1,异格者,control_mp_cost&faction_900,异格者,0,初始解锁,0,1
char_1024_hbisc2,濯尘芙蓉,2,护理专精,train_spd&profession2_270,护理专精,0,精英 2 解锁,2,1
char_1026_gvial2,百炼嘉维尔,1,近卫专精·α,train_spd&profession2_020,近卫专精·α,0,初始解锁,0,1
char_1026_gvial2,百炼嘉维尔,2,实战指导,train_spd&profession2_620,实战指导,1,精英 2 提升,2,1
char_1026_gvial2,百炼嘉维尔,3,过量训练,train_cost&profession_320,过量训练,0,精英 2 解锁,2,1
char_1027_greyy2,承曦格雷伊,1,巡线框架,power_rec_drone_000,巡线框架,0,初始解锁,0,1
char_1027_greyy2,承曦格雷伊,2,晨曦,power_count_000,晨曦,0,精英 2 解锁,2,1
char_1028_texas2,缄默德克萨斯,1,沉默为剑,train_spd_doubleProf2_001,沉默为剑,0,初始解锁,0,1
char_1028_texas2,缄默德克萨斯,2,破斩桎梏,train_spd_doubleProf2_000,破斩桎梏,1,精英 2 提升,2,1
char_1029_yato2,麒麟R夜刀,1,耐力回复,control_mp_cost&bd2_010,耐力回复,0,初始解锁,0,1
char_1029_yato2,麒麟R夜刀,2,以身作则,control_token_prod_spd2_000,以身作则,0,精英 2 解锁,2,1
char_103_angel,能天使,1,企鹅物流·α,trade_ord_spd_010,企鹅物流·α,0,初始解锁,0,1
char_103_angel,能天使,2,物流专家,trade_ord_spd_020,物流专家,1,精英 2 提升,2,1
char_1030_noirc2,火龙S黑角,1,团队合作,control_mp_bd2_000,团队合作,0,初始解锁,0,1
char_1030_noirc2,火龙S黑角,2,秘传交涉术,control_token_tra_spd_000,秘传交涉术,0,精英 2 解锁,2,1
char_1031_slent2,淬羽赫默,1,不停歇的电话,hire_spd_032,不停歇的电话,0,初始解锁,0,1
char_1031_slent2,淬羽赫默,2,莱茵科技·γ,manu_prod_spd_021,莱茵科技·γ,0,精英 2 解锁,2,1
char_1032_excu2,圣约送葬人,1,公证所教习·α,manu_formula_spd_030,公证所教习·α,0,初始解锁,0,1
char_1032_excu2,圣约送葬人,2,公证所教习·β,manu_formula_spd_031,公证所教习·β,1,精英 2 提升,2,1
char_1032_excu2,圣约送葬人,3,合理利用,manu_formula_limit_020,合理利用,0,精英 2 解锁,2,1
char_1033_swire2,琳琅诗怀雅,1,订单分发·α,trade_ord_spd_000,订单分发·α,0,初始解锁,0,1
char_1033_swire2,琳琅诗怀雅,2,招商引资,trade_ord_spd_variable_000,招商引资,0,精英 2 解锁,2,1
char_1034_jesca2,涤火杰西卡,1,订单管理·β,trade_ord_spd&limit_001,订单管理·β,0,初始解锁,0,1
char_1034_jesca2,涤火杰西卡,2,老友相聚,control_bd_spd_000,老友相聚,0,精英 2 解锁,2,1
char_1035_wisdel,维什戴尔,1,同谋·α,control_meeting&ord_000,同谋·α,0,初始解锁,0,1
char_1035_wisdel,维什戴尔,2,同谋·β,control_meeting&ord_001,同谋·β,1,精英 2 提升,2,1
char_1035_wisdel,维什戴尔,3,巴别塔之帜,control_mp_expand_double_000,巴别塔之帜,0,精英 2 解锁,2,1
char_1036_fang2,历阵锐枪芬,1,标准化·α,manu_prod_spd_1000,标准化·α,0,初始解锁,0,1
char_1036_fang2,历阵锐枪芬,2,重聚时光,manu_prod_spd&fraction_000,重聚时光,0,精英 2 解锁,2,1
